sensor_id,timestamp,temperature,humidity
1,2025-03-17T15:51:07.426446,24.03,55.75
1,2025-03-17T15:51:07.426446,20.81,54.45
1,2025-03-17T15:51:07.427446,25.06,59.64
1,2025-03-17T15:51:07.427446,29.52,40.88
1,2025-03-17T15:51:07.427446,20.3,53.98
1,2025-03-17T15:51:07.427446,18.72,40.75
1,2025-03-17T15:51:07.427446,18.21,54.87
1,2025-03-17T15:51:07.427446,19.27,48.92
1,2025-03-17T15:51:07.427446,25.72,42.25
1,2025-03-17T15:51:07.427446,24.84,49.27
1,2025-03-17T15:51:07.427446,21.32,49.56
1,2025-03-17T15:51:07.427446,27.41,48.61
1,2025-03-17T15:51:07.427446,28.66,58.23
1,2025-03-17T15:51:07.427446,23.85,40.18
1,2025-03-17T15:51:07.427446,25.02,47.36
1,2025-03-17T15:51:07.427446,26.84,63.22
1,2025-03-17T15:51:07.427446,22.34,51.93
1,2025-03-17T15:51:07.427446,25.61,54.97
1,2025-03-17T15:51:07.427446,28.26,56.62
1,2025-03-17T15:51:07.427446,19.57,59.03
1,2025-03-17T15:51:07.427446,25.6,52.61
1,2025-03-17T15:51:07.427446,25.64,69.85
1,2025-03-17T15:51:07.427446,26.61,43.78
1,2025-03-17T15:51:07.427446,18.7,40.85
1,2025-03-17T15:51:07.427446,19.91,53.58
1,2025-03-17T15:51:07.427446,21.48,69.2
1,2025-03-17T15:51:07.427446,28.97,43.0
1,2025-03-17T15:51:07.427446,23.97,69.79
1,2025-03-17T15:51:07.427446,20.82,63.43
1,2025-03-17T15:51:07.427446,23.76,44.25
1,2025-03-17T15:51:07.427446,19.06,63.38
1,2025-03-17T15:51:07.427446,28.18,62.2
1,2025-03-17T15:51:07.427446,27.19,46.42
1,2025-03-17T15:51:07.427446,27.29,40.68
1,2025-03-17T15:51:07.427446,22.84,50.83
1,2025-03-17T15:51:07.427446,29.24,48.11
1,2025-03-17T15:51:07.427446,21.09,67.64
1,2025-03-17T15:51:07.427446,24.94,61.91
1,2025-03-17T15:51:07.427446,20.6,47.4
1,2025-03-17T15:51:07.427446,23.62,45.74
1,2025-03-17T15:51:07.427446,19.15,49.88
1,2025-03-17T15:51:07.427446,23.67,62.59
1,2025-03-17T15:51:07.427446,26.31,65.85
1,2025-03-17T15:51:07.427446,18.16,40.95
1,2025-03-17T15:51:07.427446,21.91,51.02
1,2025-03-17T15:51:07.427446,19.59,58.2
1,2025-03-17T15:51:07.427446,19.09,44.79
1,2025-03-17T15:51:07.427446,26.29,65.64
1,2025-03-17T15:51:07.427446,28.54,42.65
1,2025-03-17T15:51:07.427446,25.9,67.31
